year,escapement,smolts,recruits,age2,age3,age4,age5,expR,runsize,harvest
1992,3806,837357,5559,24,80,136,29,0.317960373,5580,1774
1993,3920,1006768,6239,28,92,150,29,0.282113763,5460,1540
1994,3311,905476,6420,30,97,159,33,0.295733205,4700,1389
1995,3961,986246,6630,34,106,169,36,0.238306373,5200,1239
1996,4238,1450314,6672,36,106,166,39,0.251365383,5660,1422
1997,4245,1067231,6754,35,102,164,28,0.315358795,6200,1955
1998,4656,1085869,6111,32,93,155,29,0.294567325,6600,1944
1999,5254,1229228,6316,26,92,157,25,0.234234394,6860,1606
2000,4669,1327552,7041,37,107,179,36,0.305280016,6720,2051
2001,4428,662407,4682,24,71,118,20,0.312446573,6440,2012
2002,4360,1267249,7255,38,113,182,31,0.301350924,6240,1880
2003,5058,1219356,4979,24,70,122,24,0.20230619,6340,1282
2004,4387,1647360,7924,40,117,196,42,0.299273145,6260,1873
2005,4183,1055220,6548,36,97,164,31,0.281429393,5820,1637
2006,4079,1103082,6138,26,95,158,34,0.346444638,6240,2161
2007,4493,1376177,6769,37,96,170,31,0.265855914,6120,1627
2008,4703,1559975,6814,28,99,169,32,0.314505917,6860,2157
2009,5075,1468361,6845,37,103,173,35,0.249371855,6760,1685
2010,4097,1318801,6291,30,92,156,36,0.34561943,6260,2163
2011,4713,1308661,7261,38,105,172,35,0.306933604,6800,2087
2012,4544,881841,6356,30,95,151,29,0.317862464,6660,2116
2013,5347,1282830,5894,25,91,150,33,0.2019699,6700,1353
2014,4220,1125518,6230,30,89,157,30,0.352860469,6520,2300
2015,4802,1136558,7875,32,116,192,39,0.268011653,6560,1758
2016,4724,1184870,7309,42,116,185,34,0.230689013,6140,1416
2017,4398,1103111,5500,24,85,135,30,0.267005986,6000,1602
2018,4382,1203025,7033,33,102,179,30,0.370494276,6960,2578
2019,4198,942796,5617,25,85,137,25,0.420183722,7240,3042
2020,4868,1362402,6680,31,96,165,34,0.288416682,6840,1972
2021,4523,1137233,6527,30,98,158,37,0.23598983,5920,1397
