year,escapement,smolts,recruits,age2,age3,age4,age5,expR,runsize,harvest
1992,8778,2562161,11575,59,169,282,56,0.349820999,13500,4722
1993,10594,4257958,21382,90,319,506,116,0.281295676,14740,4146
1994,12891,8803635,16934,103,247,420,89,0.290932845,18180,5289
1995,13349,4573330,18076,85,260,468,97,0.232817635,17400,4051
1996,12420,6362818,18287,73,289,469,93,0.228599786,16100,3680
1997,15033,9337651,17658,87,266,449,96,0.159279185,17880,2847
1998,12322,6523509,19243,97,292,487,70,0.291033345,17380,5058
1999,13803,7304353,20381,116,299,519,102,0.260291151,18660,4857
2000,14030,4126294,19149,103,278,475,106,0.244905346,18580,4550
2001,14058,9795690,14403,68,205,356,68,0.260136346,19000,4942
2002,14962,7521083,17948,105,274,435,87,0.240541337,19700,4738
2003,14291,4390254,20319,107,291,512,88,0.235777524,18700,4409
2004,11535,6969891,20196,89,299,517,76,0.349775855,17740,6205
2005,11764,2437641,17596,92,267,448,96,0.302311636,16860,5096
2006,12250,5430090,20499,99,289,523,109,0.306372779,17660,5410
2007,14475,2077002,15169,72,224,390,67,0.268976845,19800,5325
2008,12247,4886257,19094,93,269,475,113,0.369393386,19420,7173
2009,12182,1667396,10049,53,160,257,49,0.311769255,17700,5518
2010,14046,541265,5187,23,77,130,26,0.249720508,18720,4674
2011,12262,3881672,19992,82,281,504,81,0.253244163,16420,4158
2012,10181,5580158,21788,97,324,564,110,0.297891413,14500,4319
2013,8150,3274279,18136,109,283,444,74,0.229766808,10580,2430
2014,7323,2383928,17658,83,268,432,80,0.3426405,11140,3817
2015,14144,3334517,21196,124,321,546,111,0.265655229,19260,5116
2016,14694,9575091,17309,84,261,437,86,0.273319648,20220,5526
2017,14423,4705372,19962,89,300,495,79,0.237711552,18920,4497
2018,12835,4514752,18348,83,278,460,83,0.295588937,18220,5385
2019,14112,4119253,18163,91,288,449,97,0.277076626,19520,5408
2020,13349,4585791,18754,102,295,459,78,0.283084229,18620,5271
2021,13751,7239402,19599,90,294,490,103,0.276286525,19000,5249
