year,escapement,smolts,recruits,age2,age3,age4,age5,expR,runsize,harvest
1992,18890,3782499,24416,101,350,618,132,0.247427379,25100,6210
1993,20241,4624098,29747,161,462,751,142,0.186477738,24880,4639
1994,18464,4553944,32164,182,461,813,136,0.257305614,24860,6396
1995,19355,4876665,27890,148,411,708,124,0.216402219,24700,5345
1996,21936,4864576,30248,166,431,754,154,0.202925177,27520,5584
1997,18897,4302468,26360,123,396,646,124,0.36672549,29840,10943
1998,19944,3862365,25165,124,382,637,132,0.349108103,30640,10696
1999,21745,5540721,30486,143,434,773,145,0.222290024,27960,6215
2000,17296,5162951,24843,99,372,619,135,0.381423645,27960,10664
2001,19789,5621051,23370,96,348,589,106,0.253256946,26500,6711
2002,16914,5420038,28392,169,434,696,144,0.346475747,25880,8966
2003,18078,5531134,27376,144,405,710,153,0.341675274,27460,9382
2004,16839,5321258,33254,172,488,817,183,0.342752962,25620,8781
2005,19790,3447391,27357,118,417,689,145,0.240016287,26040,6250
2006,22284,5739451,33420,157,484,819,172,0.192056615,27580,5296
2007,20284,4614599,25387,152,391,642,115,0.30537029,29200,8916
2008,22498,6297737,32600,151,500,838,175,0.271444221,30880,8382
2009,19167,6037028,29991,157,434,745,141,0.36450034,30160,10993
2010,18488,3987960,24857,133,360,619,122,0.386201211,30120,11632
2011,23064,6779708,29646,131,445,741,144,0.216071837,29420,6356
2012,23388,5201206,34542,164,503,849,174,0.230672855,30400,7012
2013,18461,4959301,29571,162,462,732,118,0.345843194,28220,9759
2014,20548,4986138,30198,125,446,708,151,0.249532637,27380,6832
2015,22836,5439578,27494,149,419,710,152,0.252767662,30560,7724
2016,21209,6493793,31272,148,494,759,153,0.328831726,31600,10391
2017,18846,3843454,29671,142,442,728,131,0.372246491,30020,11174
2018,21328,4488206,26449,136,389,692,171,0.234487862,27860,6532
2019,19418,4402929,27699,142,404,712,132,0.351460207,29940,10522
2020,19880,3965367,28164,126,422,733,146,0.332465439,29780,9900
2021,18806,4369122,26038,132,386,643,136,0.33407518,28240,9434
