year,escapement,smolts,recruits,age2,age3,age4,age5,expR,runsize,harvest
1992,18348,3693091,30278,150,472,761,166,0.372512854,29240,10892
1993,23388,5672458,17864,77,291,447,85,0.241660967,30840,7452
1994,20533,4806458,22498,119,318,580,129,0.311910361,29840,9307
1995,21976,5139247,19096,112,293,485,88,0.244844105,29100,7124
1996,15207,3537704,31032,181,471,787,144,0.415569293,26020,10813
1997,15309,3579882,29596,149,428,721,147,0.266127812,20860,5551
1998,14907,3063364,33570,162,494,841,240,0.345652013,22780,7873
1999,15946,4085795,27619,132,416,686,151,0.353892465,24680,8734
2000,20914,4138153,24979,134,380,615,137,0.286237732,29300,8386
2001,21512,6240571,13562,55,203,328,64,0.278613952,29820,8308
2002,20102,6347051,12927,77,200,325,80,0.346517383,30760,10658
2003,19162,3888075,26635,132,388,667,153,0.296055456,27220,8058
2004,15475,4283328,24814,116,359,607,117,0.260324324,20920,5445
2005,12856,3376171,29445,129,453,741,142,0.193478033,15940,3084
2006,11197,2054333,35963,190,530,896,174,0.373096702,17860,6663
2007,19182,4939289,21262,110,308,538,124,0.223408737,24700,5518
2008,20395,5703707,15065,62,231,386,78,0.273172497,28060,7665
2009,22681,6588050,11041,58,170,273,49,0.242965248,29960,7279
2010,23074,6087645,15456,79,239,380,71,0.180644122,28160,5086
2011,14379,2204585,37510,202,548,954,192,0.281805221,20020,5641
2012,11144,2417308,35797,206,548,882,192,0.265880726,15180,4036
2013,12745,3441567,31585,151,454,765,150,0.19542925,15840,3095
2014,16191,4397081,23529,138,348,583,111,0.315682626,23660,7469
2015,25741,6206194,12534,58,191,333,56,0.253466839,34480,8739
2016,25740,7949832,7944,32,116,195,42,0.227504758,33320,7580
2017,22238,5697259,18017,95,285,455,95,0.184240671,27260,5022
2018,12314,3374592,28706,144,421,738,145,0.356003167,19120,6806
2019,9183,2564708,36548,171,569,921,217,0.299014186,13100,3917
2020,9960,1669719,35400,208,507,892,195,0.267713055,13600,3640
2021,15559,5407102,19249,86,300,492,97,0.285656712,21780,6221
