year,escapement,smolts,recruits,age2,age3,age4,age5,expR,runsize,harvest
1992,14407,2095309,49355,219,715,1231,297,0.469189218,27140,12733
1993,15264,1554954,36948,206,574,898,198,0.615720363,39720,24456
1994,21725,1534930,40669,183,615,1012,190,0.483985465,42100,20375
1995,16149,2235508,53514,284,784,1362,265,0.532480225,34540,18391
1996,19123,2122698,49996,264,711,1219,280,0.550697789,42560,23437
1997,21414,3221327,69115,389,1075,1723,367,0.488701494,41880,20466
1998,25097,2555795,60289,322,841,1516,306,0.444283605,45160,20063
1999,25159,3553542,74373,356,1162,1822,391,0.525666443,53040,27881
2000,28887,3193555,71986,422,1074,1740,310,0.498670407,57620,28733
2001,31546,4230146,82448,405,1211,2079,401,0.50709413,64000,32454
2002,40166,5169777,89134,428,1352,2254,443,0.420744414,69340,29174
2003,31887,3409588,72389,421,1096,1786,341,0.557990504,72140,40253
2004,35790,2961794,63500,331,968,1643,266,0.525332532,75400,39610
2005,40371,3853855,80362,390,1223,2015,459,0.515008687,83240,42869
2006,33015,844501,22862,107,322,568,104,0.595609342,81640,48625
2007,40521,3050991,74055,430,1045,1888,316,0.43517959,71740,31219
2008,35204,3754198,79469,410,1083,1978,348,0.468863625,66280,31076
2009,26298,2232224,54903,279,777,1317,285,0.566475515,60660,34362
2010,23930,1872015,44362,198,696,1100,229,0.517941275,49640,25710
2011,32558,3761655,83377,473,1310,2055,432,0.514650888,67080,34522
2012,41094,4002738,79352,413,1202,2009,365,0.371472944,65380,24286
2013,27101,2778977,62837,324,1003,1515,280,0.5218684,56680,29579
2014,38183,3908817,84284,409,1346,2108,381,0.385732167,62160,23977
2015,31862,4569364,87885,421,1248,2173,423,0.581865081,76200,44338
2016,35443,4782723,86517,487,1293,2150,424,0.54006294,77060,41617
2017,36021,3304549,72943,406,1052,1826,393,0.506161725,72940,36919
2018,40533,2971685,67570,295,1018,1686,335,0.508454593,82460,41927
2019,36112,3390608,73971,349,1173,1853,320,0.575458213,85060,48948
2020,35093,4278610,91099,477,1467,2196,465,0.552393813,78400,43307
2021,41647,4603612,88870,387,1388,2176,404,0.424298225,72340,30693
