year,escapement,smolts,recruits,age2,age3,age4,age5,expR,runsize,harvest
1992,24338,5249546,49074,261,748,1147,217,0.39518684,40240,15902
1993,18893,5589935,49791,254,787,1271,204,0.457112396,34800,15907
1994,18855,4540750,48767,230,747,1174,253,0.495054986,37340,18485
1995,23877,5921235,55330,299,857,1442,264,0.46272784,44440,20563
1996,22049,7509839,91969,484,1357,2282,375,0.535029002,47420,25371
1997,24275,5870771,63277,321,927,1533,418,0.521024529,50680,26405
1998,29407,7796829,64802,279,955,1641,324,0.459236315,54380,24973
1999,27702,7626312,65076,339,972,1657,258,0.58936295,67460,39758
2000,35889,9168588,97503,442,1447,2522,525,0.521744304,75040,39151
2001,29400,4763972,46753,232,685,1163,234,0.540923178,64040,34640
2002,38507,10152517,105125,633,1588,2678,614,0.445625568,69460,30953
2003,34470,9017018,73464,329,1172,1853,363,0.52910891,73200,38730
2004,45999,9324514,109212,511,1640,2680,630,0.438770394,81960,35961
2005,42172,10403623,136909,742,2055,3432,749,0.415100132,72100,29928
2006,44352,14017346,145461,785,2196,3576,731,0.517388993,91900,47548
2007,48023,12364915,131701,586,1945,3341,640,0.504818331,96980,48957
2008,51136,15656235,159236,747,2364,3971,699,0.565393319,117660,66524
2009,58724,11814797,96497,456,1460,2449,459,0.570987305,136880,78156
2010,64552,18522338,167856,980,2505,4159,804,0.540032455,140340,75788
2011,62128,10277961,102279,484,1543,2573,516,0.549278494,137840,75712
2012,58345,15294112,185302,863,2936,4666,892,0.586265023,141020,82675
2013,41876,13225256,137605,780,2154,3486,700,0.658829813,122740,80864
2014,60238,16687854,178698,882,2571,4523,1044,0.571200289,140480,80242
2015,68325,12557395,132348,629,2043,3308,603,0.518366956,141860,73535
2016,77525,13550362,141888,777,2073,3664,726,0.528325557,164360,86835
2017,73516,20109918,224645,1237,3283,5561,1175,0.51494169,151560,78044
2018,90544,24253981,290212,1616,4379,6991,1513,0.43712874,160860,70316
2019,67833,23117936,194949,986,3085,4777,934,0.557344253,153240,85407
2020,81411,21736588,241637,1234,3612,6099,1346,0.555908908,183320,101909
2021,94839,15047641,128242,676,1909,3230,720,0.593038613,233040,138201
