year,escapement,smolts,recruits,age2,age3,age4,age5,expR,runsize,harvest
1992,16412,4872411,31191,187,498,771,167,0.31730479,24040,7628
1993,15237,4459833,31981,141,500,786,186,0.330550361,22760,7523
1994,18190,4251458,25667,145,363,633,114,0.311005739,26400,8210
1995,20674,6530877,34846,180,525,856,170,0.272052979,28400,7726
1996,22942,5181079,25621,121,408,630,144,0.2546533,30780,7838
1997,19876,4345480,23848,112,355,609,143,0.335704526,29920,10044
1998,23968,5307847,33335,159,474,815,170,0.181999512,29300,5332
1999,22419,5883829,29579,174,440,729,135,0.247700877,29800,7381
2000,17732,4546948,28505,129,402,701,138,0.325289337,26280,8548
2001,19444,6355259,27395,125,430,695,136,0.306089016,28020,8576
2002,19031,3791249,24436,124,358,594,122,0.376858486,30540,11509
2003,22392,5852831,28859,129,419,741,160,0.214882964,28520,6128
2004,20954,5464667,25733,135,370,635,128,0.2462646,27800,6846
2005,16798,3018300,22836,119,356,569,132,0.363731142,26400,9602
2006,19641,4272441,27660,124,424,724,149,0.235200619,25680,6039
2007,21314,5239166,31618,155,498,796,132,0.211774906,27040,5726
2008,17879,4551354,24691,134,372,611,138,0.298866353,25500,7621
2009,16888,3959509,25776,118,397,623,124,0.338265405,25520,8632
2010,22901,4775406,28692,155,431,723,162,0.230477571,29760,6859
2011,22542,5873201,30934,149,478,763,153,0.214580468,28700,6158
2012,15796,5365943,26722,163,414,706,131,0.390138814,25900,10104
2013,18337,3638755,17644,86,271,455,77,0.316305731,26820,8483
2014,20313,5300640,26549,128,369,647,144,0.317443233,29760,9447
2015,23906,6406034,34430,161,520,868,175,0.161204174,28500,4594
2016,17011,3656097,19639,97,298,489,88,0.323899715,25160,8149
2017,14879,3389970,24115,115,360,618,129,0.333382646,22320,7441
2018,17631,4789175,26016,149,401,676,129,0.34262439,26820,9189
2019,21436,4914654,28123,134,413,701,137,0.247867668,28500,7064
2020,17017,4521610,21838,118,300,531,114,0.274640182,23460,6443
2021,17250,4412714,27087,137,421,665,139,0.304999779,24820,7570
