year,escapement,smolts,recruits,age2,age3,age4,age5,expR,runsize,harvest
1992,24704,5544924,39744,211,584,1027,203,0.347156553,37840,13136
1993,29417,9750676,35899,184,538,929,160,0.227503766,38080,8663
1994,26658,8619436,38815,182,574,947,206,0.320647914,39240,12582
1995,32033,6535458,44090,207,668,1120,208,0.204349834,40260,8227
1996,26561,7638430,40984,190,602,1036,169,0.325543804,39380,12819
1997,26213,5724985,40558,231,634,1004,199,0.314896693,38260,12047
1998,25538,4583640,40461,182,619,1006,212,0.350182024,39300,13762
1999,26566,6360507,42623,206,630,1057,207,0.384770971,43180,16614
2000,28197,5275075,38113,220,563,962,230,0.315623397,41200,13003
2001,28868,7686230,42366,218,665,1061,216,0.277602275,39960,11092
2002,30931,5454229,43917,209,659,1140,215,0.247430027,41100,10169
2003,26492,5852111,42539,203,655,1067,229,0.353868974,41000,14508
2004,31010,6589768,41695,205,637,1023,240,0.241091485,40860,9850
2005,35206,8891776,38380,186,594,974,194,0.182419851,43060,7854
2006,30865,6755635,41529,159,612,1014,173,0.303595735,44320,13455
2007,31343,8666845,36947,170,578,928,209,0.255533095,42100,10757
2008,26664,7342265,40200,190,609,987,208,0.335069234,40100,13436
2009,27035,7334308,39024,180,618,980,194,0.322776579,39920,12885
2010,26039,9270275,36939,191,549,911,215,0.341134352,39520,13481
2011,26519,5689818,37422,147,546,930,206,0.298451139,37800,11281
2012,28379,7585714,39057,201,567,965,221,0.292311121,40100,11721
2013,26361,7766570,35887,175,532,883,171,0.30042449,37680,11319
2014,28706,7069342,40428,216,602,1012,199,0.225018458,37040,8334
2015,25945,9048845,33203,148,494,834,174,0.312557114,37740,11795
2016,26020,6751744,43047,240,631,1114,201,0.322057437,38380,12360
2017,22556,7480048,37268,178,579,950,185,0.391717337,37080,14524
2018,29434,8327704,38672,203,580,970,184,0.23230686,38340,8906
2019,24931,6229188,38280,236,576,898,172,0.323265929,36840,11909
2020,31023,7133527,36547,188,553,894,170,0.250672674,41400,10377
2021,26796,6677292,40447,191,619,1004,206,0.31886665,39340,12544
