year,escapement,smolts,recruits,age2,age3,age4,age5,expR,runsize,harvest
1992,8985,988140,7265,35,104,188,34,0.268359786,12280,3295
1993,7288,774655,6895,33,108,171,29,0.350501103,11220,3932
1994,7897,978723,7870,45,115,197,44,0.304903485,11360,3463
1995,7129,1066984,8566,45,122,213,43,0.303840255,10240,3111
1996,5837,473926,4722,22,67,124,23,0.284772504,8160,2323
1997,4388,521505,4808,23,69,115,22,0.398940601,7300,2912
1998,4854,565476,4545,20,72,117,23,0.344157401,7400,2546
1999,5074,619200,5959,33,85,143,33,0.268944799,6940,1866
2000,3832,382663,3540,16,49,88,17,0.251570319,5120,1288
2001,3604,228301,2190,11,31,53,9,0.258555223,4860,1256
2002,3843,453385,3768,19,56,94,18,0.199478473,4800,957
2003,3421,302424,2841,16,44,68,12,0.243142104,4520,1099
2004,2769,380356,3146,18,47,77,16,0.19056519,3420,651
2005,2110,274265,2661,10,38,67,12,0.257162685,2840,730
2006,2300,230886,2068,10,32,53,10,0.303179494,3300,1000
2007,1814,199588,1678,8,24,41,10,0.365749555,2860,1046
2008,1974,161482,1742,7,26,43,8,0.279577702,2740,766
2009,1641,146871,1320,5,20,34,7,0.333289683,2460,819
2010,1132,150861,1486,7,22,37,8,0.41070578,1920,788
2011,1193,121743,1025,4,14,25,5,0.273022477,1640,447
2012,1166,205475,2386,10,38,58,11,0.271685565,1600,434
2013,953,139594,1411,6,21,35,7,0.299544196,1360,407
2014,930,82333,772,4,11,19,3,0.316349596,1360,430
2015,1039,106188,1022,5,15,25,4,0.325592943,1540,501
2016,1270,112792,1053,4,15,26,5,0.278834544,1760,490
2017,825,90799,719,3,10,17,3,0.335463966,1240,415
2018,635,74355,816,3,11,20,3,0.294658095,900,265
2019,693,64979,674,3,9,17,3,0.246959042,920,227
2020,616,40409,470,2,7,11,1,0.284637085,860,244
2021,554,65422,623,3,9,16,3,0.230835929,720,166
