year,escapement,smolts,recruits,age2,age3,age4,age5,expR,runsize,harvest
1992,11712,3737188,23047,121,343,567,106,0.478582143,22460,10748
1993,10968,2487572,18371,95,270,463,94,0.481698277,21160,10192
1994,15225,4232438,21923,122,331,541,95,0.30481812,21900,6675
1995,12668,3111524,20724,100,302,523,95,0.444892553,22820,10152
1996,13006,2442763,16392,78,239,401,84,0.397882802,21600,8594
1997,10676,3891006,22989,101,342,577,128,0.466216973,20000,9324
1998,11347,4151715,20229,107,317,521,100,0.441081232,20300,8953
1999,10867,2717806,16290,73,250,402,67,0.43285834,19160,8293
2000,11569,3395292,22650,106,344,568,115,0.38790557,18900,7331
2001,10257,2443420,20056,79,301,511,82,0.512069133,21020,10763
2002,12112,3737508,21088,110,324,525,116,0.397447374,20100,7988
2003,8911,1522795,14960,87,214,367,64,0.518367807,18500,9589
2004,10763,2393572,20586,101,296,506,102,0.485523768,20920,10157
2005,11754,3148518,20681,109,289,516,107,0.433298453,20740,8986
2006,10781,2550957,19235,91,298,461,86,0.415383691,18440,7659
2007,8143,2773409,20729,105,309,505,98,0.541539889,17760,9617
2008,9705,2167710,17052,90,259,423,71,0.489252611,19000,9295
2009,11668,3803191,24533,120,380,594,112,0.428628218,20420,8752
2010,11305,3299242,19450,99,288,466,105,0.41546034,19340,8035
2011,11195,2781897,18793,100,277,459,106,0.422980212,19400,8205
2012,11587,3181452,19122,103,267,476,87,0.420654226,20000,8413
2013,12209,2815278,21499,101,321,540,129,0.420284629,21060,8851
2014,9361,2628810,21075,105,320,527,92,0.51144726,19160,9799
2015,8848,2104363,16865,88,258,423,94,0.525362685,18640,9792
2016,11959,3192608,22372,107,338,569,135,0.406828577,20160,8201
2017,11556,3923212,22143,115,336,578,107,0.441771819,20700,9144
2018,10370,2833840,19001,100,290,478,75,0.492178257,20420,10050
2019,11693,2385126,18811,98,282,485,91,0.39607121,19360,7667
2020,11336,3264970,21185,126,309,528,121,0.484298178,21980,10644
2021,10953,2323779,17514,94,255,438,77,0.502591437,22020,11067
