year,escapement,smolts,recruits,age2,age3,age4,age5,expR,runsize,harvest
1992,4084,884325,16742,84,258,390,82,0.303136044,5860,1776
1993,4281,1027709,16252,81,255,411,87,0.210306361,5420,1139
1994,4839,1444176,14628,67,224,365,75,0.253256398,6480,1641
1995,9318,2530593,7938,40,114,200,41,0.218301088,11920,2602
1996,11920,1942507,10871,46,169,275,51,0.209600195,15080,3160
1997,10676,2733501,6614,35,97,160,30,0.29491193,15140,4464
1998,8934,2838717,6190,35,95,149,27,0.270143484,12240,3306
1999,7044,2015890,11159,51,175,278,58,0.264776214,9580,2536
2000,6284,1601753,13688,70,209,342,71,0.298681179,8960,2676
2001,5336,1261940,16084,80,244,405,84,0.252786688,7140,1804
2002,6211,1607274,13749,76,208,338,70,0.267685804,8480,2269
2003,9000,2465692,8104,42,120,209,42,0.242452023,11880,2880
2004,9435,2233223,9677,54,147,235,42,0.34481077,14400,4965
2005,9897,3657311,3217,16,46,78,15,0.318435001,14520,4623
2006,7886,2042629,10886,60,169,277,52,0.338451818,11920,4034
2007,5840,967465,16520,64,244,406,68,0.339409173,8840,3000
2008,5535,1138429,16286,81,252,409,96,0.277526849,7660,2125
2009,5703,1565383,14054,68,217,354,77,0.19226942,7060,1357
2010,9089,1527406,13981,57,205,356,73,0.263485723,12340,3251
2011,12187,3297458,4402,24,60,113,18,0.216815267,15560,3373
2012,11372,3375226,4121,22,60,104,22,0.242906562,15020,3648
2013,9757,2483962,7926,41,112,193,41,0.281580006,13580,3823
2014,6964,1716207,13176,55,205,321,60,0.323936037,10300,3336
2015,3986,1182625,16476,85,250,401,104,0.305700466,5740,1754
2016,4398,1234945,16022,68,233,389,78,0.23922555,5780,1382
2017,7051,1477603,14676,67,218,362,67,0.301945249,10100,3049
2018,10449,1665352,13886,60,209,353,65,0.231743324,13600,3151
2019,10728,2260497,9386,50,136,242,53,0.295170796,15220,4492
2020,13401,2475622,8253,38,121,201,40,0.130954619,15420,2019
2021,10744,3011092,5583,28,83,138,33,0.231505314,13980,3236
