year,escapement,smolts,recruits,age2,age3,age4,age5,expR,runsize,harvest
1992,837,299466,2229,11,32,56,10,0.29108352,1180,343
1993,844,223167,1806,9,27,44,8,0.330202737,1260,416
1994,1070,310707,1921,9,27,49,11,0.257330204,1440,370
1995,1016,274488,2288,10,34,58,10,0.340304251,1540,524
1996,1469,382907,2779,15,41,68,14,0.242859833,1940,471
1997,1229,403321,2778,14,44,70,16,0.325140455,1820,591
1998,1337,233543,1548,9,23,37,9,0.369538564,2120,783
1999,1925,427905,3656,16,55,92,17,0.224099098,2480,555
2000,1828,331397,2550,12,38,64,11,0.302461177,2620,792
2001,1767,580376,3326,17,52,84,16,0.281945497,2460,693
2002,1700,421048,2989,14,44,72,15,0.291683432,2400,700
2003,2480,731478,3148,15,45,79,15,0.205272518,3120,640
2004,2152,440099,2961,15,43,73,13,0.268233768,2940,788
2005,2256,636456,4008,16,58,100,19,0.267818785,3080,824
2006,2162,447570,3005,15,46,74,16,0.269913618,2960,798
2007,2248,316975,2336,11,36,58,11,0.265644098,3060,812
2008,2262,490702,3038,13,41,76,13,0.29761863,3220,958
2009,2492,643939,3724,18,56,93,16,0.267140388,3400,908
2010,2002,701335,3506,18,55,90,19,0.295085574,2840,838
2011,1994,382457,3037,15,46,76,13,0.250618121,2660,666
2012,2436,749751,4140,18,66,100,21,0.243747339,3220,784
2013,2376,431746,2279,12,34,56,11,0.325204391,3520,1144
2014,2411,723046,3900,20,60,94,18,0.290949904,3400,989
2015,2589,379766,2825,13,42,74,14,0.251949326,3460,871
2016,2345,512006,3246,15,48,84,17,0.297980584,3340,995
2017,2085,660201,3717,22,55,92,22,0.305302084,3000,915
2018,2028,437006,2655,13,38,66,13,0.374154972,3240,1212
2019,2329,431523,2937,13,43,72,16,0.281230928,3240,911
2020,2287,699312,3965,18,58,100,19,0.31126402,3320,1033
2021,2214,777547,3863,19,58,96,19,0.308431469,3200,986
